"type","modified","language","rights","rightsHolder","accessRights","bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","associatedMedia","associatedReferences","associatedOccurrences","associatedSequences","associatedTaxa","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","SubPhylum","Subclass","SuperOrder","Suborder","InfraOrder","SuperFamily","Subfamily"
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"73",,,,,,,,"Eulemur sanfordi","Eulemur sanfordi",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"sanfordi",,"species",,"(Archbold, 1932)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"74",,,,,,,,"Eulemur cinereiceps","Eulemur cinereiceps",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"cinereiceps",,"species",,"(A. Grandidier and Milne-Edwards, 1890)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"75",,,,,,,,"Eulemur collaris","Eulemur collaris",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"collaris",,"species",,"(E. Geoffroy, 1812)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"76",,,,,,,,"Eulemur macaco","Eulemur macaco",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"macaco",,"species",,"Linnaeus, 1766",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"77",,,,,,,,"Eulemur flavifrons","Eulemur flavifrons",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"flavifrons",,"species",,"(Gray, 1867)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"78",,,,,,,,"Eulemur coronatus","Eulemur coronatus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"coronatus",,"species",,"(Gray, 1842)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"79",,,,,,,,"Eulemur rubriventer","Eulemur rubriventer",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"rubriventer",,"species",,"(I. Geoffroy, 1850)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"80",,,,,,,,"Eulemur mongoz","Eulemur mongoz",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"mongoz",,"species",,"(Linnaeus, 1766)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"81",,,,,,,,"Varecia variegata variegata","Varecia variegata variegata",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Varecia","Animalia","Chordata","Mammalia","Primates","Lemuridae","Varecia",,"variegata","variegata","subspecies",,"(Kerr, 1792)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"82",,,,,,,,"Varecia variegata editorum","Varecia variegata editorum",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Varecia","Animalia","Chordata","Mammalia","Primates","Lemuridae","Varecia",,"variegata","editorum","subspecies",,"(Hill, 1953)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"83",,,,,,,,"Varecia variegata subcincta","Varecia variegata subcincta",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Varecia","Animalia","Chordata","Mammalia","Primates","Lemuridae","Varecia",,"variegata","subcincta","subspecies",,"(A. Smith, 1833)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"84",,,,,,,,"Varecia rubra","Varecia rubra",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Varecia","Animalia","Chordata","Mammalia","Primates","Lemuridae","Varecia",,"rubra",,"species",,"(E. Geoffroy, 1812)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"85",,,,,,,,"Avahi laniger","Avahi laniger",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"laniger",,"species",,"(Gmelin, 1788)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"86",,,,,,,,"Avahi mooreorum","Avahi mooreorum",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"mooreorum",,"species",,"Lei et al., 2008",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"87",,,,,,,,"Avahi peyrierasi","Avahi peyrierasi",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"peyrierasi",,"species",,"Zaramody et al., 2006",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"88",,,,,,,,"Avahi betsileo","Avahi betsileo",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"betsileo",,"species",,"Andriantompohavana et al., 2007",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"89",,,,,,,,"Avahi ramanantsoavanai","Avahi ramanantsoavanai",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"ramanantsoavanai",,"species",,"Zaramody et al., 2006",,"ICZN",,,,,,,,,,
