Ta_Id,Id_Accepted,NomenclaturalCode,Kingdom,KingdomSource,Phylum,PhylumSource,SubPhylum,SubPhylumSource,Class,ClassSource,Subclass,SubclassSource,SuperOrder,SuperOrderSource,Order,OrderSource,Suborder,SuborderSource,InfraOrder,InfraOrderSource,SuperFamily,SuperfamilySource,Family,FamilySource,Subfamily,SubfamilySource,Genus,GenusSource,Subgenus,SubgenusSource,SpecificEpithet,SpecificEpithetSource,InfraspecificRank,InfraspecificEpithet,InfraspecificEpithetSource,AcceptedSpecies,VerbatimSpecies,VerbatimSpeciesSource,IsMarine,IsTerrestrial,Comments,ReviewedBy,ReviewDate,Notes,Status,ChangedBy,ChangeDate,Validation,ValidatedBy,ValidationDate,Stability
847,1707,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,crossleyi,(A. Grandidier 1870),,,,Cheirogaleus crossleyi,Cheirogaleus crossleyi,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
848,1708,ICZN,ANIMALIA,,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,major,E. Georffroy 1812,,,,Cheirogaleus major,Cheirogaleus major,,0,1,,Edward Louis,,Cheirogaleus major: le nom d'espece valide pour ce synonyme est Cheirogaleus ravus,Changed,Tom Allnutt,8/8/2008,OK,Edward Louis,6/13/2012,1
849,1708,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,VERTNET,,,major,REBIOMA,,,,Cheirogaleus major,Cheirogaleus ravus,,0,1,,Rodin Rasoloarison,10/3/2011,Taxonomic classification not valid anymore. Cf Lemurs of Madagascar Third Edition,Changed,Tom Allnutt,8/3/2008,OK,Edward Louis,6/13/2012,1
850,1709,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,VERTNET,,,medius,REBIOMA,,,,Cheirogaleus medius,Cheirogaleus adipicaudatus,,0,1,,Rodin Rasoloarison,10/3/2011,Taxonomic classification not valid anymore. Cf Lemurs of Madagascar Third Edition since 2009,Changed,Tom Allnutt,10/3/2011,OK,Edward Louis,6/13/2012,1
851,1709,ICZN,ANIMALIA,,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,medius,E. Georffroy 1812,,,,Cheirogaleus medius,Cheirogaleus medius,,0,1,,Edward Louis,,Cheirogaleus medius: le nom d'espece valide pour ce synonyme est Cheirogaleus adipicaudatus,Changed,Tom Allnutt,8/8/2008,OK,Edward Louis,6/13/2012,1
852,1710,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,minusculus,Groves 2000,,,,Cheirogaleus minusculus,Cheirogaleus minusculus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
853,1711,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,sibreei,(Forsyth Major 1896),,,,Cheirogaleus sibreei,Cheirogaleus sibreei,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1212,2298,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,DAUBENTONIIDAE,GRAY. 1863,,,Daubentonia,E. Geoffroy. 1795 Aye-aye,,,madagascariensis,(Gmelin 1788),,,,Daubentonia madagascariensis,Daubentonia madagascariensis,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1305,2805,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,albifrons,(E. Geoffroy 1796),,,,Eulemur albifrons,Eulemur albifrons,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1306,2805,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,VERTNET,,,,,LEMURIDAE,VERTNET,,,Eulemur,VERTNET,,,albifrons,REBIOMA,subsp.,albifrons,VERTNET,Eulemur albifrons,Eulemur fulvus albifrons,,0,1,,Rodin Rasoloarison,10/3/2011,,,Andry Rakotomanjaka,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
