Scientific name,id,id_intl,Author,Phyllum,Embranchement,Sous-Embranchement,Classe,Sous-Classe,Infra-classe,Order,Sous-Ordre,Infra-Ordre,Super-Famille,Family,Sub family,Genus,Species,Sub species,English name,French name,Malagasy name,Comoros name
Cheirogaleus adipicaudatus,28,,,ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, adipicaudatus,,,,
Cheirogaleus ravus,29,,,ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, ravus,,,,
Phaner furcifer,30,,"(de Blainville, 1839)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,furcifer,,Masoala fork-marked lemur,Phaner oriental,Tantana
Phaner furcifer,30,,"(de Blainville, 1839)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,furcifer,,Eastern fork-marked lemur,Lémurien à fourche oriental,Tanta
Phaner furcifer,30,,"(de Blainville, 1839)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,furcifer,,,Phaner à fourche oriental,Vakiandriana
Phaner pallescens,31,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner, pallescens,,Pale fork-marked lemur,Phaner occidental,Tanta
Phaner pallescens,31,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner, pallescens,,Western fork-marked lemur,Lémurien à fourche occidental,Tantaraolana
Phaner pallescens,31,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner, pallescens,,,Phaner pâle,Vakivoho
Phaner parienti,32,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,parienti,,Sambirano fork-marked lemur,Phaner de Pariente,Tanta
Phaner parienti,32,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,parienti,,Pariente's fork-marked lemur,Lémurien à fourche de Pariente,Valvihy
Phaner electromontis,33,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,electromontis,,Montagne d'Ambre fork-marked lemur,Phaner de la montagne d'Ambre,Tanta
Phaner electromontis,33,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,electromontis,,Amber mountain fork-marked lemur,Lémurien à fourche de la montagne d'Ambre,
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Weasel sportive lemur,Lépilémur,Hataka
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Greater sportive lemur,,Trangalava
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Weasel lemur,,Kotrika
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Greater weasel lemur,,Fitiliky
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,,,Kotriana
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,Betsileo sportive lemur,Lépilémur du betsileo,Hataka
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Trangalava
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Kotrika
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Fitiliky
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Kotriana
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,Small-toothed sportive lemur,Lépilémur aux petits dents,Fitiliky
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,Small-toothed weasel lemur,,Hataka
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,,,Trangalavaka
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,,,Kotrika
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,Manombo sportive lemur,Lépilémur de Manombo,Hataka
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,James' sportive lemur,Lépilémur de James,Trangalava
