"scientificName","acceptedNameUsage","kingdom","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","nomenclaturalCode","reviewed","reviewedBy","reviewDate","accepted","whyNotAccepted"
"Eulemur mongoz","Eulemur mongoz","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Eulemur",,"mongoz",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Eulemur rubriventer","Eulemur rubriventer","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Eulemur",,"rubriventer",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Eulemur rufifrons","Eulemur rufifrons","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Eulemur",,"rufifrons",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Eulemur rufus","Eulemur rufus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Eulemur",,"rufus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Eulemur sanfordi","Eulemur sanfordi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Eulemur",,"sanfordi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Hapalemur alaotrensis","Hapalemur alaotrensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Hapalemur",,"alaotrensis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Hapalemur aureus","Hapalemur aureus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Hapalemur",,"aureus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Hapalemur griseus gilberti","Hapalemur griseus gilberti","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEMURIDAE",,"Hapalemur",,"griseus","gilberti","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
"Hapalemur griseus griseus","Hapalemur griseus griseus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEMURIDAE",,"Hapalemur",,"griseus","griseus","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
"Hapalemur griseus ranomafanensis","Hapalemur griseus ranomafanensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEMURIDAE",,"Hapalemur",,"griseus","ranomafanensis","Subspecies","ICZN",-1,"Rodin Rasoloarison","2012-06-13",-1,
"Hapalemur meridionalis","Hapalemur meridionalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Hapalemur",,"meridionalis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Hapalemur occidentalis","Hapalemur occidentalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Hapalemur",,"occidentalis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
