datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95310			Thomas Schulenberg		1				call	native	present					http://macaulaylibrary.org/audio/95310								1991-03-30		89	89	1991	3	30	30 Mar 1991							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Kalotsara on Sahatromoana R., Reserve Naturelle Integrale de Zahamena	Madagascar; Toamasina; ; Kalotsara on Sahatromoana R., Reserve Naturelle Integrale de Zahamena																-17.7	48.7666667	not recorded (forced WGS84)											requires verification																																				Varecia variegata								Animalia	Chordata	Mammalia	Primates	Lemuridae	Varecia		variegata		species			ruffed lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					85825	NOTES: Recordist-  Evening.  Mainly females  Males' calls  Field tape is labelled as U6, but was found in, and matches list on box labelled U1.		Nigel Tucker		1					native	present					http://macaulaylibrary.org/audio/85825								1988-11-03		308	308	1988	11	3	3 Nov 1988							;Madagascar;Toliara;;;;;	Africa			Madagascar	Madagascar	MG	Atsimo-Andrefana			Berenty Reserve	Madagascar; Toliara; ; Berenty Reserve																-25	46.3	not recorded (forced WGS84)											requires verification																																				Lemur catta								Animalia	Chordata	Mammalia	Primates	Lemuridae	Lemur		catta		species			ring-tailed lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125318	NOTES: Initial good purrs/trill		Erik Patel		1				call	native	present					http://macaulaylibrary.org/audio/125318								2000-05-07		128	128	2000	5	7	7 May 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Hapalemur simus								Animalia	Chordata	Mammalia	Primates	Lemuridae	Hapalemur		simus		species			greater bamboo lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					87946			Thomas Schulenberg		1				call	native	present					http://macaulaylibrary.org/audio/87946								1992-01-21		22	22	1992	1	21	21 Jan 1992							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Maintimbato At Base Of Ridge Trail	Madagascar; Toamasina; ; Maintimbato At Base Of Ridge Trail																-15.7666667	49.6	not recorded (forced WGS84)											requires verification																																				Varecia variegata								Animalia	Chordata	Mammalia	Primates	Lemuridae	Varecia		variegata		species			ruffed lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125313	NOTES: adult male tail-flagging throughout culminates in one SHRIEK before tape runs out.		Erik Patel		1				call	native	present					http://macaulaylibrary.org/audio/125313								2000-05-01		122	122	2000	5	1	1 May 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Eulemur fulvus rufus								Animalia	Chordata	Mammalia	Primates	Lemuridae	Eulemur		fulvus	rufus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					97968			Lucienne Wilmé		1					native	present					http://macaulaylibrary.org/audio/97968								1987-12-05		339	339	1987	12	5	5 Dec 1987							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Parc National Masoala; Hiaraka	Madagascar; Toamasina; ; Parc National Masoala; Hiaraka																-15.4833333	44.2666667	not recorded (forced WGS84)											requires verification																																				Varecia variegata rubra								Animalia	Chordata	Mammalia	Primates	Lemuridae	Varecia		variegata	rubra	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					97461	NOTES: Tech Note: I believe her notes on tape indicate that the animals were responding to playback. mf 7jun99 Elevation:  500m<alt.<2000m		Lucienne Wilmé		1					native	present					http://macaulaylibrary.org/audio/97461								1987-05-10		130	130	1987	5	10	10 May 1987							;Madagascar;Antsiranana;;;;;	Africa			Madagascar	Madagascar	MG				Reserve Naturelle Integrale 12 de Marojejy	Madagascar; Antsiranana; ; Reserve Naturelle Integrale 12 de Marojejy																-14.4333333	49.25	not recorded (forced WGS84)											requires verification																																				Lemur rubriventer								Animalia	Chordata	Mammalia	Primates	Lemuridae	Lemur		rubriventer		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125315	NOTES:  Grunts throughout become squeakish....more tonal.  1:23 GOBBLE,  3:37: grunt series,   Propithecus CHATTER-SQUEAL at 12:15.   This Chatter-squeal was extracted and represents the first Chatter-squeal in LNS 125316. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 29 June 2005).		Erik Patel		1				call	native	present					http://macaulaylibrary.org/audio/125315								2000-05-01		122	122	2000	5	1	1 May 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Eulemur fulvus rufus								Animalia	Chordata	Mammalia	Primates	Lemuridae	Eulemur		fulvus	rufus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125316	"NOTES: 2 Chatter-squeals during ""harrassment"" from Eulmur fulvus rufus   1st chatter-squeal is the same as that from LNS 125315."		Erik Patel		1					native	present					http://macaulaylibrary.org/audio/125316								2000-05-01		122	122	2000	5	1	1 May 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Propithecus diadema edwardsi								Animalia	Chordata	Mammalia	Primates	Indridae	Propithecus		diadema	edwardsi	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125304	NOTES: No Tail-flagging.  Several animals traveling across a trail.		Erik Patel		1				call	native	present					http://macaulaylibrary.org/audio/125304								2000-04-22		113	113	2000	4	22	22 Apr 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Eulemur fulvus rufus								Animalia	Chordata	Mammalia	Primates	Lemuridae	Eulemur		fulvus	rufus	subspecies				ICZN			
